dataset	sample	protein	intensities	group	ocular.region	labeling	instrument
1	Data6	NC1	A0A075B6P5	-0.0566573853273246	NC	tear	No	Q Exactive HF
2	Data6	NC1	A0A0B4J1X5	-0.376538941991436	NC	tear	No	Q Exactive HF
3	Data6	NC1	A0A0B4J1Y9	-0.0802802088945912	NC	tear	No	Q Exactive HF
4	Data6	NC1	O00151	-0.848818155698443	NC	tear	No	Q Exactive HF
5	Data6	NC1	O00299	-0.12496879333967	NC	tear	No	Q Exactive HF
6	Data6	NC1	O00764	-1.01238654305789	NC	tear	No	Q Exactive HF
7	Data6	NC1	O14745	NA	NC	tear	No	Q Exactive HF
8	Data6	NC1	O43707	0.518040217608482	NC	tear	No	Q Exactive HF
9	Data6	NC1	O43852	-0.685257324357558	NC	tear	No	Q Exactive HF
10	Data6	NC1	O75083	-0.0576852904156656	NC	tear	No	Q Exactive HF
11	Data6	NC1	O75556	1.63154340251303	NC	tear	No	Q Exactive HF
12	Data6	NC1	O75874	-0.417759728359517	NC	tear	No	Q Exactive HF
13	Data6	NC1	O95336	-1.04804186551458	NC	tear	No	Q Exactive HF
14	Data6	NC1	O95834	-1.70813764198437	NC	tear	No	Q Exactive HF
15	Data6	NC1	O95968	1.07214655298267	NC	tear	No	Q Exactive HF
16	Data6	NC1	O95994	-0.403321747971229	NC	tear	No	Q Exactive HF
17	Data6	NC1	P00325	-0.845082664726558	NC	tear	No	Q Exactive HF
18	Data6	NC1	P00338	0.476485065875056	NC	tear	No	Q Exactive HF
19	Data6	NC1	P00352	0.90211885605131	NC	tear	No	Q Exactive HF
20	Data6	NC1	P00390	-0.637747578376892	NC	tear	No	Q Exactive HF
21	Data6	NC1	P00441	-0.193940063365759	NC	tear	No	Q Exactive HF
22	Data6	NC1	P00450	0.812236089651051	NC	tear	No	Q Exactive HF
23	Data6	NC1	P00558	0.179806372316487	NC	tear	No	Q Exactive HF
24	Data6	NC1	P00738	0.0279841278218004	NC	tear	No	Q Exactive HF
25	Data6	NC1	P00751	-0.0457348309519622	NC	tear	No	Q Exactive HF
26	Data6	NC1	P00966	-0.91640642928278	NC	tear	No	Q Exactive HF
27	Data6	NC1	P01008	0.0621792831060861	NC	tear	No	Q Exactive HF
28	Data6	NC1	P01009	1.12748610346438	NC	tear	No	Q Exactive HF
29	Data6	NC1	P01011	-0.0897775542902295	NC	tear	No	Q Exactive HF
30	Data6	NC1	P01023	NA	NC	tear	No	Q Exactive HF
31	Data6	NC1	P01024	1.39140491794787	NC	tear	No	Q Exactive HF
32	Data6	NC1	P01033	-1.07855981949759	NC	tear	No	Q Exactive HF
33	Data6	NC1	P01034	0.229578949507932	NC	tear	No	Q Exactive HF
34	Data6	NC1	P01036	2.29785355443663	NC	tear	No	Q Exactive HF
35	Data6	NC1	P01037	0.995354542569289	NC	tear	No	Q Exactive HF
36	Data6	NC1	P01040	-0.143377329848166	NC	tear	No	Q Exactive HF
37	Data6	NC1	P01042	-1.1102927172424	NC	tear	No	Q Exactive HF
38	Data6	NC1	P01591	1.46131977053571	NC	tear	No	Q Exactive HF
39	Data6	NC1	P01619	-0.0377692457252803	NC	tear	No	Q Exactive HF
40	Data6	NC1	P01780	NA	NC	tear	No	Q Exactive HF
41	Data6	NC1	P01833	2.4772498058809	NC	tear	No	Q Exactive HF
42	Data6	NC1	P01834	1.18873243059909	NC	tear	No	Q Exactive HF
43	Data6	NC1	P01859	0.613552929806437	NC	tear	No	Q Exactive HF
44	Data6	NC1	P01860	0.189681088586726	NC	tear	No	Q Exactive HF
45	Data6	NC1	P01871	0.386818782977468	NC	tear	No	Q Exactive HF
