dataset	sample	protein	intensities	group	ocular.region	labeling	instrument
1	Data2	NC1	O00533	-1.10298028675322	NC	vitreous	No	TripleTOF 5600
2	Data2	NC1	O14773	-0.81518790595647	NC	vitreous	No	TripleTOF 5600
3	Data2	NC1	O15537	-0.679975607701247	NC	vitreous	No	TripleTOF 5600
4	Data2	NC1	O43505	-0.229668199074029	NC	vitreous	No	TripleTOF 5600
5	Data2	NC1	O75326	-0.624876589836865	NC	vitreous	No	TripleTOF 5600
6	Data2	NC1	O75882	-1.36929052324621	NC	vitreous	No	TripleTOF 5600
7	Data2	NC1	O94985	0.767279192393931	NC	vitreous	No	TripleTOF 5600
8	Data2	NC1	P00450	1.91526476623189	NC	vitreous	No	TripleTOF 5600
9	Data2	NC1	P00734	0.578054511612095	NC	vitreous	No	TripleTOF 5600
10	Data2	NC1	P00746	-1.03630639003549	NC	vitreous	No	TripleTOF 5600
11	Data2	NC1	P00747	0.710771963318932	NC	vitreous	No	TripleTOF 5600
12	Data2	NC1	P00748	-0.1494230418921	NC	vitreous	No	TripleTOF 5600
13	Data2	NC1	P00751	1.31917623554923	NC	vitreous	No	TripleTOF 5600
14	Data2	NC1	P01008	1.41405663808817	NC	vitreous	No	TripleTOF 5600
15	Data2	NC1	P01009	0.983672420421424	NC	vitreous	No	TripleTOF 5600
16	Data2	NC1	P01011	1.47593910207284	NC	vitreous	No	TripleTOF 5600
17	Data2	NC1	P01019	0.848780547456545	NC	vitreous	No	TripleTOF 5600
18	Data2	NC1	P01023	-1.10499040822454	NC	vitreous	No	TripleTOF 5600
19	Data2	NC1	P01024	2.48831249501892	NC	vitreous	No	TripleTOF 5600
20	Data2	NC1	P01031	0.269226297369108	NC	vitreous	No	TripleTOF 5600
21	Data2	NC1	P01042	0.775064604937132	NC	vitreous	No	TripleTOF 5600
22	Data2	NC1	P01834	-1.68764890514885	NC	vitreous	No	TripleTOF 5600
23	Data2	NC1	P02647	1.27363094293163	NC	vitreous	No	TripleTOF 5600
