NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	PDR1	PDR2	PDR3	PDR4	PDR5	PDR6	PDR7	PDR8
A0A075B6P5	-0.0566573853273246	-0.112187753030327	0.29230233074177	0.363360674471272	0.266392950563671	-0.0700712308910746	-0.465973735791904	-0.424144778709051	0.00985906857431554	-0.451383042289874	0.294565839937248	-0.121073250707742	-0.531634167911765	-0.0624852016181415	0.153225146866209	-0.119218153880276
A0A0B4J1X5	-0.376538941991436	-0.333589605089555	-0.417475534975889	0.238381714151567	-0.0300726227700973	-0.069726037983991	-0.790409946418754	-0.447761738840585	-0.147727415593192	-0.664143293389547	0.373742947456298	-0.0871777155659344	-0.380611051146112	-0.119661344294002	-0.490790229204219	-0.492291148769841
A0A0B4J1Y9	-0.0802802088945912	-0.720619256982464	-0.136407404600805	-0.255124194623621	-0.237760874127775	-0.700539483077573	-1.14524014060176	-0.785649172545042	-0.647448843797119	-0.846912444159591	-0.106095800243386	-0.456089153785428	-0.588753900021941	-0.177499598350598	-0.549533010972718	-0.583361245201223
O00151	-0.848818155698443	-0.806842200479618	-1.09912622044415	-1.52836149416698	-0.819186289057083	NA	-0.804122531187682	-0.889513689711522	-1.01018185671551	-0.649360994803678	-0.964913947588256	-0.894411004688793	-0.878161786741409	-0.761699247281634	-0.847013364192267	-0.798955706706021
O00299	-0.12496879333967	0.256973573721963	-0.138607946913408	-0.0315528797137089	0.0421426245940852	-0.234674169513662	0.12148696267322	0.30342844726875	0.0653503029291841	0.205141125686645	-0.0612038008902179	0.0602797904135796	-0.00499440879248848	0.0890584676820678	0.0398710526307215	0.117265119261837
O00764	-1.01238654305789	-0.596307227495044	-1.1417298204746	-0.882582564341015	-0.784479680022587	NA	-0.853298095590749	-0.458039057837209	-0.930652059279456	-0.718430473012322	-0.690091939448897	-0.809853056291121	-0.809667879797704	-0.930740374165487	-0.651412447586158	-0.582787330548825
O14745	NA	-1.56512813564794	-1.15603833323509	-1.06109987975241	-1.26308581864058	-1.16472797009262	-1.33466410633928	-1.50059673460004	-1.37809896696986	-1.56086190471938	-1.42745366111684	-1.53781832348881	-1.47163060314156	-1.56690456221797	-1.54100283420573	-1.50430019562743
O43707	0.518040217608482	0.663140938091445	0.345109129531307	0.377642495975623	0.501275756419681	0.363391280422248	0.631001187382517	0.908405428760446	0.692210257848299	0.80070048381699	0.468769566940405	0.663780676230276	0.498246529874345	0.635432145902372	0.745039022974664	0.935364266392413
O43852	-0.685257324357558	-1.69543702982565	-0.479008808856256	-0.964939154345898	-1.19988373125868	-0.136710176941239	-0.935217711871359	-1.62628049201508	-1.26730885918961	-2.1423274800436	-0.930851815119471	-1.55128128670534	-1.10127625534936	-1.59201008601538	-1.69383385464765	-2.083152525472
O75083	-0.0576852904156656	0.044654206040429	-0.229192404251056	-0.105706184304791	-0.0586849334177667	-1.06823565910227	0.110546203998645	0.231184821816917	0.214596137709939	0.128020454142263	-0.0585179658030784	0.114651349849682	-0.0673262922094473	0.0494886123341665	0.201608902220312	0.257888870219638
O75556	1.63154340251303	1.51179776192357	1.73074313564722	2.42034439358281	2.57628428031002	1.13338864275206	2.10941906948855	-0.446112523126057	2.49532897092137	2.15957132307507	1.90566974400204	2.0961070580676	1.77165321357238	1.16087371565986	1.23374860156557	0.733924119886598
O75874	-0.417759728359517	-0.149258094509176	-0.857723234873849	-0.344417249163798	-0.325944112587557	-0.674723941384865	-0.110947149738699	-0.145499458851154	-0.171607774605876	-0.10470287210302	-0.424067252867849	-0.184646432975363	-0.390506734730062	-0.151033052547492	0.0670963290781169	-0.0366230291412287
