NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	PDR1	PDR2	PDR3	PDR4	PDR5	PDR6	PDR7	PDR8	PDR9	PDR10
1C02_HUMAN	-0.226477267715331	-0.402859560474537	-0.198771289612275	-0.641156063267937	-0.931169610072091	-0.887926873021978	-1.70933999311862	-1.29293291207476	-0.187798620489375	-0.966175111976284	-1.1625210886334	-0.525268646329007	NA	-0.449286896908889	0.035430078893586	-1.00904650782537	-1.03409054223133	-0.282028482261911	-1.19094898748106
A0A024R6I7	-0.808686671122515	-1.29518100732995	-0.347933524592322	-0.850990786805008	-0.886713198572704	-0.940600163045841	-1.37890552053879	-0.739662303339001	-0.816843487378872	-0.297271692189359	-0.264559527521077	-1.14985304537419	-0.880777563384029	-1.88593875889001	-0.957329715009494	-0.823132613286181	-1.12684417899601	-0.964237135928832	-0.634665504461892
A0A075B6N8	-0.813679928783044	-0.301014896253268	-0.314144304241943	-0.65854589042898	0.156533816104359	-0.376345795453231	-0.513280003022065	-0.255521323083151	-0.611457953143047	-0.37270546662643	0.0601493188437376	-0.493848266564681	-0.284787019230269	-0.272012254662987	-0.515861098795739	-0.465812213972597	0.543041877885048	-0.178867227659356	-0.58684448379398
A0A075B730	-0.96626775178948	0.407046098492532	-0.164043150074624	-0.651649383396302	-0.490137550286012	-0.879977915956636	-0.0240403034521742	0.45321219713063	-0.866064640802637	0.576492438004255	0.118362810283367	-1.03823433475969	-0.278174830791514	-1.4160488497624	-0.394942978221368	-0.401953722487652	-0.697561531373155	-0.324934205925418	-0.407374905716945
A0A075B789	0.212880728658955	0.0934187369188909	0.227856270409564	0.515755966472385	0.124640086793803	0.539087184778377	0.230981896526763	0.105548041678652	-0.0646997241971102	-0.580676157787533	0.556201221680581	0.059636850391271	0.599320893249771	-0.750703674389397	0.294838069061259	-0.407939626404356	0.424841886399628	0.395279010107236	-0.260476902565369
A0A087WTI1	-1.34473066684444	-0.316673132743615	-0.794447706717227	-0.812576771376108	-0.873583811887122	-0.830003213233236	-0.809096333233289	-0.54719163059931	-0.869681871870217	0.0842891914728864	-0.0324053282681299	-0.862017250186832	-0.763303287667462	-0.237302600200936	-0.98179444484923	-0.385107038730709	-1.47278401948278	-1.30891790728956	-0.898439147416579
A0A087WTK0	-1.1197770141602	-1.31788689730529	NA	-0.758283145721177	-1.16545483608143	-1.34136592546002	-1.52810030886687	-1.506794417611	-0.848139850996705	-1.44844690158626	-1.5498143211561	-0.918967543294292	NA	-1.00358594258245	-0.829052162015071	NA	-0.860203955526411	-0.976021684240138	-1.95088590382644
A0A087WYC5	0.846952899694843	0.85302947229821	0.558868463721501	0.835010411005021	1.7532363124424	0.892076099445394	0.783824971314911	0.757705076365773	0.797165604897049	0.942936644994849	0.714528365898556	0.780730286883312	0.686047102926949	0.885437849220448	0.936349433299372	0.920034373712129	0.908853641518172	1.01300528206068	0.991504882771239
A0A087WZM2	0.535762328188378	0.558567024484739	0.55837501916769	0.671243925008524	0.311401529487272	0.393062045702691	0.295348877635448	0.376987407925596	0.674998224014951	0.474046667966157	0.34333358301246	0.558629223643275	0.320998016936884	0.388218912027365	0.468920262281007	0.756254888135158	0.501102234561744	0.359598550272535	0.534603049228435
A0A087X0D5	0.139298510874158	0.21804700786001	-0.527718130577843	0.346994611384209	0.0695872852459977	0.189267929154469	0.418934791556826	0.292031492606419	0.247065527311231	-0.212529359675025	-0.00480227158243384	0.0138947125198016	0.470652396933168	-0.174942650533971	-0.0639147858979863	0.0891712020719228	0.169787346979044	0.190754338863226	0.159682092901295
