NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	PDR1	PDR2	PDR3	PDR4	PDR5	PDR6	PDR7	PDR8	PDR9	PDR10	PDR11	PDR12	PDR13	PDR14	PDR15	PDR16	PDR17	PDR18	PDR19	PDR20	PDR21	PDR22
P04217	0.685401785733713	0.848216182488469	0.779841193532747	0.182992419865705	0.0252422305595039	-0.575857984022628	-1.00972873929709	1.08811935238635	-0.120404908304617	0.862358446169473	-0.19064582093917	0.92207519545927	0.328756233848946	0.110267334218127	0.231787962259242	-1.00034834041043	-0.201451619743698	-0.278905570400782	0.419564785932671	0.450404078727482	-0.407666860192197	-0.126099086055275	-0.439848928451476	-0.165894900896279	0.209745419735783	-0.914078595298221	0.0117543011158707	0.391052373544725	-0.137168530768531	-0.967852207722729	0.172219722672585	-0.371072681320896
P01023	-0.254094289924804	-1.12659298111079	-0.994370503399709	-1.01977653806318	-1.35421411286328	-0.709736792071997	-0.30271500631879	0.209343454045181	-0.85310958528844	-1.10257129158471	-1.63997544413496	-0.781739493570138	-1.03295344009267	-0.650717223062548	-1.25371187211296	-0.925534148154244	-1.86704279465378	0.29170870463445	-1.47769041040978	-1.05169928672509	0.223998749482496	2.92260565355648	-0.0077909069201576	0.752451571372754	-0.753281635032315	-1.34662675562984	-0.251673447811391	-1.40758456947234	0.851563135605919	-0.784975783423016	3.43004091530318	-0.0291824381193742
Q9BUJ0	NA	NA	NA	0.198744169939809	0.295544196669292	0.0659558147132238	0.507199133051723	-0.00288548716084769	0.578888745715028	-0.535407186820279	NA	NA	NA	NA	NA	0.0136200755101075	-0.658139671742442	0.306200922560301	0.523919679556855	0.708666651870223	0.172704902515044	0.539828296486588	-0.410636468293128	-0.0997487528571619	0.426151330267465	0.552322756312382	0.597927095400787	0.780139464103587	0.52013702658289	1.08478735855304	-0.17121322384172	0.939865278261513
Q96IU4	0.671789530654472	0.219350256459564	1.09918582759793	-0.475069878640852	-0.138010447336395	-0.517669000606658	-1.75159168163896	-0.412819147089733	-1.03413002101567	-0.767971802306	0.0785255730044314	0.541065696272167	-0.0992012608983828	-0.139672836821205	-0.265501413902996	-0.816649957023256	-0.384435752489936	-0.172905378751588	0.0679755818449088	-0.224494689915668	-0.203200454979271	0.212695078065355	0.0889620684291481	-0.802600835747472	1.58269070298786	1.61473999414912	1.4382844031501	1.76171948442727	1.58616999821075	1.73758073421169	0.754176883234035	2.22812835924775
Q7Z7G0	-0.326917477588083	-0.180406010112034	0.0791721696118186	0.776670635263379	0.538144950785611	1.07227959258905	0.667075536096793	0.0849604365244385	0.419757892715415	0.653686328096176	-0.476726635729853	-0.689301198208124	0.179398250343866	-0.49469398082971	-0.0311902205037438	-0.092788116583272	0.0486593351895257	-0.32661691175999	-0.623253135827786	0.293211732021924	0.81327111992998	-1.00633004759136	0.468879211458465	-0.398255575789092	-0.610582569142827	-0.578160092959692	-0.275373200987747	-0.758937290523179	-0.444662211367842	-0.719784361357299	-1.29136809127475	-1.39559669729575
P16112	1.25403250181591	-1.30383839093475	-0.00589596314240115	-0.185628721294067	-0.31724854862905	-0.925809708975995	0.249593742424215	-0.148612106179806	0.35578071965884	-0.60768041304658	-0.869634198554197	0.633623369857024	1.05974122965621	-0.611082900109073	0.264244144568428	-0.166702180847664	-0.341689248351901	-0.17589438980787	-1.00991227638919	0.328318314397334	0.984407238994816	-1.65688165610379	0.610929057317569	-1.44670361199032	-0.560138403305163	-1.70388469777202	1.18626450114758	-1.16355503404595	0.529346346853222	0.451186246683483	-1.12092322802904	-1.26435430502927
P12821	NA	NA	NA	0.034875915843779	0.118088089866365	-0.166219517605079	-0.010446604802973	-0.187157520425192	-0.287232766554055	-0.0897486987666554	NA	NA	NA	NA	NA	-0.667399806724629	-0.132507310992144	-0.100619890113885	-0.201865382059312	0.197313557461291	0.207782231950241	0.455381821225432	-0.146425815030505	-0.0254985152875844	0.148143043428884	-0.281773817320236	0.349746014304634	0.21482284767229	0.235579527025132	0.27569578432616	0.0961793776654618	0.17238125552903
P22303	-0.801139937430102	0.50742074614237	0.0786767301116003	0.403391062048504	0.460185565116475	0.439584406847569	0.273031687411017	0.634958961452314	-0.113314269510726	-0.174158200754208	0.0427142193673946	-0.290772874883162	0.236576124553613	0.0916298408340026	-0.789015940027346	-0.181454446312085	-0.225252807422314	-0.288482548731544	-0.622923462817543	-0.434210787345171	-0.115266864456675	-0.692130619427557	-0.371150007340062	-0.329491052091929	-0.606892585778225	-0.620323660928465	-0.176511814264738	-0.315940329510591	-0.311761816963855	-0.554701935080054	-1.17290902415662	-0.3839281348863
P53396	NA	NA	NA	NA	NA	NA	-2.42799359960618	-1.02499378945244	-0.750710012119919	-0.0561666159164691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.828843584679605	0.0917866786534116	-0.781479394698059	-0.565034370056229	1.04227307009846	1.56115582031337	1.3832195108217	1.40370229590061	1.21188755569442	1.388038912759	0.935902947163306	1.87012137290998
P24666	NA	NA	NA	NA	NA	NA	NA	NA	-1.27306967070867	-0.0818128751753751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.08696710479762	1.56751726514096	1.88228709751521	1.60963430013669	1.04743954280505	2.73433151166377
