dataset	sample	protein	intensities	group	ocular.region	labeling	instrument
1	Data4	NC1	1C02_HUMAN	-0.226477267715331	NC	vitreous	No	Orbitrap Fusion
2	Data4	NC1	A0A024R6I7	-0.808686671122515	NC	vitreous	No	Orbitrap Fusion
3	Data4	NC1	A0A075B6N8	-0.813679928783044	NC	vitreous	No	Orbitrap Fusion
4	Data4	NC1	A0A075B730	-0.96626775178948	NC	vitreous	No	Orbitrap Fusion
5	Data4	NC1	A0A075B789	0.212880728658955	NC	vitreous	No	Orbitrap Fusion
6	Data4	NC1	A0A087WTI1	-1.34473066684444	NC	vitreous	No	Orbitrap Fusion
7	Data4	NC1	A0A087WTK0	-1.1197770141602	NC	vitreous	No	Orbitrap Fusion
8	Data4	NC1	A0A087WYC5	0.846952899694843	NC	vitreous	No	Orbitrap Fusion
9	Data4	NC1	A0A087WZM2	0.535762328188378	NC	vitreous	No	Orbitrap Fusion
10	Data4	NC1	A0A087X0D5	0.139298510874158	NC	vitreous	No	Orbitrap Fusion
11	Data4	NC1	A0A087X0M8	-0.354795344675097	NC	vitreous	No	Orbitrap Fusion
12	Data4	NC1	A0A087X0V3	-1.6194903819549	NC	vitreous	No	Orbitrap Fusion
13	Data4	NC1	A0A087X1J7	2.12809331543846	NC	vitreous	No	Orbitrap Fusion
14	Data4	NC1	A0A087X1V9	0.0716424128751229	NC	vitreous	No	Orbitrap Fusion
15	Data4	NC1	A0A096LPE2	1.34035536173846	NC	vitreous	No	Orbitrap Fusion
16	Data4	NC1	A0A0A0MT20	-1.00812687122728	NC	vitreous	No	Orbitrap Fusion
17	Data4	NC1	A0A0A0MTE9	-0.147892329531878	NC	vitreous	No	Orbitrap Fusion
18	Data4	NC1	A0A0C4DGH0	0.0617112503383853	NC	vitreous	No	Orbitrap Fusion
19	Data4	NC1	A0A0C4DGV7	1.89889041355038	NC	vitreous	No	Orbitrap Fusion
20	Data4	NC1	A0A0D9SG88	-0.0761855085106494	NC	vitreous	No	Orbitrap Fusion
21	Data4	NC1	A0A0G2JKW5	-1.20957031442169	NC	vitreous	No	Orbitrap Fusion
22	Data4	NC1	A0A0G2JN06	-2.29435353316671	NC	vitreous	No	Orbitrap Fusion
23	Data4	NC1	A0A0G2JPR0	-0.829905579787451	NC	vitreous	No	Orbitrap Fusion
24	Data4	NC1	A0A0J9YY01	-0.411629456391348	NC	vitreous	No	Orbitrap Fusion
25	Data4	NC1	A0A0U1RQC5	0.908048387261556	NC	vitreous	No	Orbitrap Fusion
26	Data4	NC1	A2A2V1	0.536734123397782	NC	vitreous	No	Orbitrap Fusion
27	Data4	NC1	A6NC48	-0.853107490796702	NC	vitreous	No	Orbitrap Fusion
28	Data4	NC1	A8MU27	-1.46940870354459	NC	vitreous	No	Orbitrap Fusion
29	Data4	NC1	A8MV23-2	0.407556279838856	NC	vitreous	No	Orbitrap Fusion
30	Data4	NC1	B1AN48	-3.39579748732321	NC	vitreous	No	Orbitrap Fusion
31	Data4	NC1	B1AP13	0.167678923003518	NC	vitreous	No	Orbitrap Fusion
