dataset	sample	protein	intensities	group	ocular.region	labeling	instrument
1	Data5	NC1	A0A075B6P5	0.976628644845008	NC	vitreous	Yes	Orbitrap Fusion
2	Data5	NC1	A0A140G945	-1.2964137615408	NC	vitreous	Yes	Orbitrap Fusion
3	Data5	NC1	A6NGN9	-0.416269284702357	NC	vitreous	Yes	Orbitrap Fusion
4	Data5	NC1	A8MV23	-1.61880781800629	NC	vitreous	Yes	Orbitrap Fusion
5	Data5	NC1	B9A064	0.494094020581094	NC	vitreous	Yes	Orbitrap Fusion
6	Data5	NC1	O00115	-0.240470645448676	NC	vitreous	Yes	Orbitrap Fusion
7	Data5	NC1	O00187	1.41098429169347	NC	vitreous	Yes	Orbitrap Fusion
8	Data5	NC1	O00299	-0.621515565560701	NC	vitreous	Yes	Orbitrap Fusion
9	Data5	NC1	O00391	-0.234105994847438	NC	vitreous	Yes	Orbitrap Fusion
10	Data5	NC1	O00451	-0.92798835700868	NC	vitreous	Yes	Orbitrap Fusion
11	Data5	NC1	O00461	-0.959255269443561	NC	vitreous	Yes	Orbitrap Fusion
12	Data5	NC1	O00462	-0.0184221456568734	NC	vitreous	Yes	Orbitrap Fusion
13	Data5	NC1	O00468	-0.527056550460959	NC	vitreous	Yes	Orbitrap Fusion
14	Data5	NC1	O00533	-0.301578870593312	NC	vitreous	Yes	Orbitrap Fusion
15	Data5	NC1	O00584	0.112501290011775	NC	vitreous	Yes	Orbitrap Fusion
16	Data5	NC1	O00754	-0.0191991793500472	NC	vitreous	Yes	Orbitrap Fusion
17	Data5	NC1	O14498	0.0751739536288056	NC	vitreous	Yes	Orbitrap Fusion
18	Data5	NC1	O14594	-0.914717279950628	NC	vitreous	Yes	Orbitrap Fusion
19	Data5	NC1	O14773	-0.127211963613242	NC	vitreous	Yes	Orbitrap Fusion
20	Data5	NC1	O14786	-0.760086943599952	NC	vitreous	Yes	Orbitrap Fusion
21	Data5	NC1	O14791	0.586654465038284	NC	vitreous	Yes	Orbitrap Fusion
22	Data5	NC1	O14793	-0.310938448132974	NC	vitreous	Yes	Orbitrap Fusion
23	Data5	NC1	O15031	0.360085560545721	NC	vitreous	Yes	Orbitrap Fusion
24	Data5	NC1	O15072	-1.22124841976072	NC	vitreous	Yes	Orbitrap Fusion
25	Data5	NC1	O15240	-0.752542341641006	NC	vitreous	Yes	Orbitrap Fusion
26	Data5	NC1	O15354	-0.966015762966777	NC	vitreous	Yes	Orbitrap Fusion
27	Data5	NC1	O15394	0.316003443496342	NC	vitreous	Yes	Orbitrap Fusion
28	Data5	NC1	O15537	-0.521138762011755	NC	vitreous	Yes	Orbitrap Fusion
29	Data5	NC1	O43405	-0.514464467984685	NC	vitreous	Yes	Orbitrap Fusion
30	Data5	NC1	O43493	0.521216263926356	NC	vitreous	Yes	Orbitrap Fusion
31	Data5	NC1	O43505	-0.888302222611191	NC	vitreous	Yes	Orbitrap Fusion
32	Data5	NC1	O60568	-0.234008214447729	NC	vitreous	Yes	Orbitrap Fusion
33	Data5	NC1	O60814	0.490536321675163	NC	vitreous	Yes	Orbitrap Fusion
34	Data5	NC1	O60888	0.0169725382345032	NC	vitreous	Yes	Orbitrap Fusion
35	Data5	NC1	O75015	0.846572267050693	NC	vitreous	Yes	Orbitrap Fusion
36	Data5	NC1	O75063	-0.982309881725806	NC	vitreous	Yes	Orbitrap Fusion
37	Data5	NC1	O75095	0.493593821013632	NC	vitreous	Yes	Orbitrap Fusion
38	Data5	NC1	O75144	1.12644317627242	NC	vitreous	Yes	Orbitrap Fusion
39	Data5	NC1	O75326	-0.653247855528516	NC	vitreous	Yes	Orbitrap Fusion
40	Data5	NC1	O75368	0.526075620614389	NC	vitreous	Yes	Orbitrap Fusion
41	Data5	NC1	O75503	-0.257440907768799	NC	vitreous	Yes	Orbitrap Fusion
42	Data5	NC1	O75629	-0.843734408986771	NC	vitreous	Yes	Orbitrap Fusion
43	Data5	NC1	O75636	0.451569881702744	NC	vitreous	Yes	Orbitrap Fusion
44	Data5	NC1	O75752	0.340382658318291	NC	vitreous	Yes	Orbitrap Fusion
45	Data5	NC1	O75829	-0.202298056452449	NC	vitreous	Yes	Orbitrap Fusion
46	Data5	NC1	O75874	0.49783244565368	NC	vitreous	Yes	Orbitrap Fusion
47	Data5	NC1	O75882	0.22090211259043	NC	vitreous	Yes	Orbitrap Fusion
48	Data5	NC1	O75888	-0.050807900213016	NC	vitreous	Yes	Orbitrap Fusion
49	Data5	NC1	O75973	-0.626510464471166	NC	vitreous	Yes	Orbitrap Fusion
50	Data5	NC1	O76061	0.186225823248854	NC	vitreous	Yes	Orbitrap Fusion
51	Data5	NC1	O94856	-0.63367876950328	NC	vitreous	Yes	Orbitrap Fusion
52	Data5	NC1	O94910	-1.14751024545777	NC	vitreous	Yes	Orbitrap Fusion
53	Data5	NC1	O94919	-0.971808811423253	NC	vitreous	Yes	Orbitrap Fusion
54	Data5	NC1	O94985	-0.736760423898122	NC	vitreous	Yes	Orbitrap Fusion
55	Data5	NC1	O95185	0.235503723726278	NC	vitreous	Yes	Orbitrap Fusion
56	Data5	NC1	O95390	-0.138194266518312	NC	vitreous	Yes	Orbitrap Fusion
57	Data5	NC1	O95428	-0.0540191950991904	NC	vitreous	Yes	Orbitrap Fusion
58	Data5	NC1	O95445	0.044443059199164	NC	vitreous	Yes	Orbitrap Fusion
59	Data5	NC1	O95497	0.202029415127473	NC	vitreous	Yes	Orbitrap Fusion
