dataset	sample	protein	intensities	group	ocular.region	labeling	Instrument
1	Data3	NC1	A2NJV5	-0.902372632318062	NC	vitreous	No	Orbitrap Fusion
2	Data3	NC1	O43196	-1.4613869110218	NC	vitreous	No	Orbitrap Fusion
3	Data3	NC1	O94985	-0.4197639202528	NC	vitreous	No	Orbitrap Fusion
4	Data3	NC1	P00441	-1.77148076139816	NC	vitreous	No	Orbitrap Fusion
5	Data3	NC1	P00450	1.1324754546947	NC	vitreous	No	Orbitrap Fusion
6	Data3	NC1	P00734	0.410559713559183	NC	vitreous	No	Orbitrap Fusion
7	Data3	NC1	P00738	1.23281213227991	NC	vitreous	No	Orbitrap Fusion
8	Data3	NC1	P00747	0.690432633976186	NC	vitreous	No	Orbitrap Fusion
9	Data3	NC1	P00751	0.833644784541626	NC	vitreous	No	Orbitrap Fusion
10	Data3	NC1	P01008	0.461812938247154	NC	vitreous	No	Orbitrap Fusion
11	Data3	NC1	P01009	-0.0701191016377397	NC	vitreous	No	Orbitrap Fusion
12	Data3	NC1	P01011	-0.373513464661707	NC	vitreous	No	Orbitrap Fusion
13	Data3	NC1	P01019	0.189000011077058	NC	vitreous	No	Orbitrap Fusion
14	Data3	NC1	P01023	0.49611758334442	NC	vitreous	No	Orbitrap Fusion
15	Data3	NC1	P01024	1.4444818276275	NC	vitreous	No	Orbitrap Fusion
16	Data3	NC1	P01031	-1.52085571984375	NC	vitreous	No	Orbitrap Fusion
17	Data3	NC1	P01034	0.422353638728777	NC	vitreous	No	Orbitrap Fusion
18	Data3	NC1	P01042	0.593067793758428	NC	vitreous	No	Orbitrap Fusion
19	Data3	NC1	P01591	-1.10443414959162	NC	vitreous	No	Orbitrap Fusion
20	Data3	NC1	P01619	-0.808206588456514	NC	vitreous	No	Orbitrap Fusion
21	Data3	NC1	P01834	0.649381129916013	NC	vitreous	No	Orbitrap Fusion
22	Data3	NC1	P01859	0.99385963644643	NC	vitreous	No	Orbitrap Fusion
23	Data3	NC1	P01860	0.913226808095803	NC	vitreous	No	Orbitrap Fusion
24	Data3	NC1	P01861	0.283280839224776	NC	vitreous	No	Orbitrap Fusion
25	Data3	NC1	P01876	0.958210524473147	NC	vitreous	No	Orbitrap Fusion
26	Data3	NC1	P02647	1.5425459857552	NC	vitreous	No	Orbitrap Fusion
27	Data3	NC1	P02649	0.531704465596153	NC	vitreous	No	Orbitrap Fusion
28	Data3	NC1	P02652	1.02392441943689	NC	vitreous	No	Orbitrap Fusion
29	Data3	NC1	P02671	-0.281900827102239	NC	vitreous	No	Orbitrap Fusion
30	Data3	NC1	P02675	-0.686795804614939	NC	vitreous	No	Orbitrap Fusion
31	Data3	NC1	P02679	-0.513646785647589	NC	vitreous	No	Orbitrap Fusion
32	Data3	NC1	P02748	-0.25576200887246	NC	vitreous	No	Orbitrap Fusion
33	Data3	NC1	P02749	0.833275350673704	NC	vitreous	No	Orbitrap Fusion
34	Data3	NC1	P02750	-1.54707844950667	NC	vitreous	No	Orbitrap Fusion
35	Data3	NC1	P02751	-1.63580028938003	NC	vitreous	No	Orbitrap Fusion
36	Data3	NC1	P02753	-0.489941806069508	NC	vitreous	No	Orbitrap Fusion
37	Data3	NC1	P02760	0.17846536352728	NC	vitreous	No	Orbitrap Fusion
38	Data3	NC1	P02763	0.703676832697229	NC	vitreous	No	Orbitrap Fusion
39	Data3	NC1	P02765	0.992930817002455	NC	vitreous	No	Orbitrap Fusion
40	Data3	NC1	P02766	0.700288650731686	NC	vitreous	No	Orbitrap Fusion
41	Data3	NC1	P02768	3.72796491639584	NC	vitreous	No	Orbitrap Fusion
42	Data3	NC1	P02774	1.03051259785717	NC	vitreous	No	Orbitrap Fusion
43	Data3	NC1	P02787	2.27131516206145	NC	vitreous	No	Orbitrap Fusion
44	Data3	NC1	P02790	1.61446239384494	NC	vitreous	No	Orbitrap Fusion
45	Data3	NC1	P04004	0.493372575734803	NC	vitreous	No	Orbitrap Fusion
46	Data3	NC1	P04196	-0.35108833560883	NC	vitreous	No	Orbitrap Fusion
47	Data3	NC1	P04217	0.60751875467498	NC	vitreous	No	Orbitrap Fusion
48	Data3	NC1	P05090	-0.921287027783959	NC	vitreous	No	Orbitrap Fusion
49	Data3	NC1	P05155	0.204052748038909	NC	vitreous	No	Orbitrap Fusion
50	Data3	NC1	P05156	-0.613112956291871	NC	vitreous	No	Orbitrap Fusion
51	Data3	NC1	P05452	-1.48395963281081	NC	vitreous	No	Orbitrap Fusion
52	Data3	NC1	P06396	0.203509182685268	NC	vitreous	No	Orbitrap Fusion
53	Data3	NC1	P06727	0.647091561033965	NC	vitreous	No	Orbitrap Fusion
54	Data3	NC1	P07339	-0.801801003154172	NC	vitreous	No	Orbitrap Fusion
55	Data3	NC1	P07360	-1.52730060881992	NC	vitreous	No	Orbitrap Fusion
56	Data3	NC1	P07998	-0.611312496803603	NC	vitreous	No	Orbitrap Fusion
57	Data3	NC1	P08185	-0.62647482065683	NC	vitreous	No	Orbitrap Fusion
58	Data3	NC1	P08603	-0.223219598243478	NC	vitreous	No	Orbitrap Fusion
59	Data3	NC1	P08697	-0.531425504692441	NC	vitreous	No	Orbitrap Fusion
60	Data3	NC1	P0C0L5	0.937621102538341	NC	vitreous	No	Orbitrap Fusion
61	Data3	NC1	P0DOX2	-0.224783364854732	NC	vitreous	No	Orbitrap Fusion
62	Data3	NC1	P0DOX5	1.37483472993704	NC	vitreous	No	Orbitrap Fusion
63	Data3	NC1	P0DOX7	0.240564927742513	NC	vitreous	No	Orbitrap Fusion
64	Data3	NC1	P0DOX8	-0.191805343326231	NC	vitreous	No	Orbitrap Fusion
65	Data3	NC1	P0DOY3	0.491408962063115	NC	vitreous	No	Orbitrap Fusion
66	Data3	NC1	P10451	0.0525283482345616	NC	vitreous	No	Orbitrap Fusion
67	Data3	NC1	P10643	-0.560933709161359	NC	vitreous	No	Orbitrap Fusion
68	Data3	NC1	P10745	0.855618457102517	NC	vitreous	No	Orbitrap Fusion
69	Data3	NC1	P10909	1.07954999067116	NC	vitreous	No	Orbitrap Fusion
70	Data3	NC1	P13611	-0.908250879168213	NC	vitreous	No	Orbitrap Fusion
71	Data3	NC1	P19652	0.0595608968706813	NC	vitreous	No	Orbitrap Fusion
72	Data3	NC1	P19823	0.172576472416749	NC	vitreous	No	Orbitrap Fusion
73	Data3	NC1	P19827	-0.312796556752812	NC	vitreous	No	Orbitrap Fusion
74	Data3	NC1	P22352	-0.202038508593215	NC	vitreous	No	Orbitrap Fusion
75	Data3	NC1	P24592	-1.52932932273722	NC	vitreous	No	Orbitrap Fusion
76	Data3	NC1	P25311	-1.5395087738151	NC	vitreous	No	Orbitrap Fusion
77	Data3	NC1	P27169	-0.561181619721063	NC	vitreous	No	Orbitrap Fusion
78	Data3	NC1	P36955	1.22578674157518	NC	vitreous	No	Orbitrap Fusion
79	Data3	NC1	P41222	0.914595304542438	NC	vitreous	No	Orbitrap Fusion
80	Data3	NC1	P43652	-0.254708452755407	NC	vitreous	No	Orbitrap Fusion
81	Data3	NC1	P61769	-0.815732664607195	NC	vitreous	No	Orbitrap Fusion
82	Data3	NC1	P62269	-0.522515463786614	NC	vitreous	No	Orbitrap Fusion
83	Data3	NC1	P63261	-0.80051102288318	NC	vitreous	No	Orbitrap Fusion
84	Data3	NC1	Q03591	-0.942551774695857	NC	vitreous	No	Orbitrap Fusion
85	Data3	NC1	Q12805	-0.108706035987258	NC	vitreous	No	Orbitrap Fusion
86	Data3	NC1	Q14515	-1.81794263531473	NC	vitreous	No	Orbitrap Fusion
87	Data3	NC1	Q14624	-0.677496558114212	NC	vitreous	No	Orbitrap Fusion
88	Data3	NC1	Q16270	-1.98035892548932	NC	vitreous	No	Orbitrap Fusion
89	Data3	NC1	Q66K66	1.05600261419198	NC	vitreous	No	Orbitrap Fusion
90	Data3	NC1	Q6P387	-0.654109746684536	NC	vitreous	No	Orbitrap Fusion
91	Data3	NC1	Q8IWB9	1.34782692316961	NC	vitreous	No	Orbitrap Fusion
92	Data3	NC1	Q96PD5	-0.365815561378041	NC	vitreous	No	Orbitrap Fusion
93	Data3	NC1	Q9BSG5	-1.18420355079358	NC	vitreous	No	Orbitrap Fusion
94	Data3	NC1	Q9UBM4	0.0266475284482853	NC	vitreous	No	Orbitrap Fusion
95	Data3	NC1	Q9UBP4	0.627738218514668	NC	vitreous	No	Orbitrap Fusion
96	Data3	NC1	Q9Y5W5	-0.850076910210739	NC	vitreous	No	Orbitrap Fusion
97	Data3	NC1	Q9Y6R7	-0.934791859685774	NC	vitreous	No	Orbitrap Fusion
98	Data3	NC2	A2NJV5	-1.27786301692568	NC	vitreous	No	Orbitrap Fusion
99	Data3	NC2	O43196	-0.0104514163131129	NC	vitreous	No	Orbitrap Fusion
100	Data3	NC2	O94985	-0.288871348020545	NC	vitreous	No	Orbitrap Fusion
101	Data3	NC2	P00441	-0.897087502062705	NC	vitreous	No	Orbitrap Fusion
102	Data3	NC2	P00450	0.989075057660679	NC	vitreous	No	Orbitrap Fusion
103	Data3	NC2	P00734	0.00976013955387421	NC	vitreous	No	Orbitrap Fusion
104	Data3	NC2	P00738	0.216412685892065	NC	vitreous	No	Orbitrap Fusion
105	Data3	NC2	P00747	0.524287836681427	NC	vitreous	No	Orbitrap Fusion
106	Data3	NC2	P00751	0.706082476481598	NC	vitreous	No	Orbitrap Fusion
107	Data3	NC2	P01008	-0.0531120603851091	NC	vitreous	No	Orbitrap Fusion
108	Data3	NC2	P01009	0.804700548650166	NC	vitreous	No	Orbitrap Fusion
109	Data3	NC2	P01011	0.176897852534452	NC	vitreous	No	Orbitrap Fusion
110	Data3	NC2	P01019	-0.136798817187165	NC	vitreous	No	Orbitrap Fusion
111	Data3	NC2	P01023	0.7574024064481	NC	vitreous	No	Orbitrap Fusion
112	Data3	NC2	P01024	1.18637200846037	NC	vitreous	No	Orbitrap Fusion
113	Data3	NC2	P01031	-1.83399939578929	NC	vitreous	No	Orbitrap Fusion
114	Data3	NC2	P01034	1.12423124496319	NC	vitreous	No	Orbitrap Fusion
115	Data3	NC2	P01042	0.471961605853708	NC	vitreous	No	Orbitrap Fusion
116	Data3	NC2	P01591	-2.57434334255923	NC	vitreous	No	Orbitrap Fusion
117	Data3	NC2	P01619	-1.47427123540866	NC	vitreous	No	Orbitrap Fusion
118	Data3	NC2	P01834	0.56473382102363	NC	vitreous	No	Orbitrap Fusion
119	Data3	NC2	P01859	0.795749453718595	NC	vitreous	No	Orbitrap Fusion
120	Data3	NC2	P01860	0.964267021984303	NC	vitreous	No	Orbitrap Fusion
121	Data3	NC2	P01861	-1.10132752369191	NC	vitreous	No	Orbitrap Fusion
122	Data3	NC2	P01876	1.0089871958498	NC	vitreous	No	Orbitrap Fusion
123	Data3	NC2	P02647	1.15819025249714	NC	vitreous	No	Orbitrap Fusion
124	Data3	NC2	P02649	0.680830664429603	NC	vitreous	No	Orbitrap Fusion
125	Data3	NC2	P02652	0.518414174858642	NC	vitreous	No	Orbitrap Fusion
126	Data3	NC2	P02671	-0.188496246098577	NC	vitreous	No	Orbitrap Fusion
127	Data3	NC2	P02675	0.0350867249241654	NC	vitreous	No	Orbitrap Fusion
128	Data3	NC2	P02679	-0.65132006798972	NC	vitreous	No	Orbitrap Fusion
129	Data3	NC2	P02748	-0.498368789434731	NC	vitreous	No	Orbitrap Fusion
130	Data3	NC2	P02749	0.800189748115263	NC	vitreous	No	Orbitrap Fusion
131	Data3	NC2	P02750	-1.04212725656829	NC	vitreous	No	Orbitrap Fusion
132	Data3	NC2	P02751	-0.54217746776743	NC	vitreous	No	Orbitrap Fusion
133	Data3	NC2	P02753	-1.14086973924763	NC	vitreous	No	Orbitrap Fusion
134	Data3	NC2	P02760	-0.011926181722464	NC	vitreous	No	Orbitrap Fusion
135	Data3	NC2	P02763	0.261977420040328	NC	vitreous	No	Orbitrap Fusion
136	Data3	NC2	P02765	0.274244811882175	NC	vitreous	No	Orbitrap Fusion
137	Data3	NC2	P02766	0.764058639120243	NC	vitreous	No	Orbitrap Fusion
138	Data3	NC2	P02768	3.69515737279645	NC	vitreous	No	Orbitrap Fusion
139	Data3	NC2	P02774	0.720174840813318	NC	vitreous	No	Orbitrap Fusion
140	Data3	NC2	P02787	2.59437548328521	NC	vitreous	No	Orbitrap Fusion
141	Data3	NC2	P02790	0.814245304794844	NC	vitreous	No	Orbitrap Fusion
142	Data3	NC2	P04004	0.219257442264558	NC	vitreous	No	Orbitrap Fusion
143	Data3	NC2	P04196	-0.369270169161898	NC	vitreous	No	Orbitrap Fusion
144	Data3	NC2	P04217	-0.11591492051108	NC	vitreous	No	Orbitrap Fusion
145	Data3	NC2	P05090	-0.787747093927222	NC	vitreous	No	Orbitrap Fusion
146	Data3	NC2	P05155	-0.443077865878636	NC	vitreous	No	Orbitrap Fusion
147	Data3	NC2	P05156	0.051665923150816	NC	vitreous	No	Orbitrap Fusion
148	Data3	NC2	P05452	-1.45789443086271	NC	vitreous	No	Orbitrap Fusion
149	Data3	NC2	P06396	0.434095781455798	NC	vitreous	No	Orbitrap Fusion
150	Data3	NC2	P06727	0.172944763835892	NC	vitreous	No	Orbitrap Fusion
151	Data3	NC2	P07339	-0.0835794654775326	NC	vitreous	No	Orbitrap Fusion
152	Data3	NC2	P07360	-2.34340972360997	NC	vitreous	No	Orbitrap Fusion
153	Data3	NC2	P07998	-0.400336396391644	NC	vitreous	No	Orbitrap Fusion
154	Data3	NC2	P08185	-1.55404230375119	NC	vitreous	No	Orbitrap Fusion
155	Data3	NC2	P08603	-0.230884279395343	NC	vitreous	No	Orbitrap Fusion
156	Data3	NC2	P08697	-0.459426222939906	NC	vitreous	No	Orbitrap Fusion
157	Data3	NC2	P0C0L5	0.78983234621864	NC	vitreous	No	Orbitrap Fusion
158	Data3	NC2	P0DOX2	-0.525650076163522	NC	vitreous	No	Orbitrap Fusion
